MMWR_Week,Week_Start,Week_End,ZIP_Code,ILI_Activity_Level,RECORD_ID,ZIP_Code_Location
17,04/19/2020,04/25/2020,60623,10,2020-17-60623,POINT (-87.717446 41.850321)
17,04/19/2020,04/25/2020,60622,1,2020-17-60622,POINT (-87.681818 41.902762)
17,04/19/2020,04/25/2020,60621,4,2020-17-60621,POINT (-87.638812 41.776931)
17,04/19/2020,04/25/2020,60620,10,2020-17-60620,POINT (-87.651656 41.740873)
17,04/19/2020,04/25/2020,60619,10,2020-17-60619,POINT (-87.60569 41.744737)
17,04/19/2020,04/25/2020,60618,10,2020-17-60618,POINT (-87.703343 41.946699)
17,04/19/2020,04/25/2020,60617,10,2020-17-60617,POINT (-87.556897 41.721257)
17,04/19/2020,04/25/2020,60616,10,2020-17-60616,POINT (-87.629531 41.844869)
17,04/19/2020,04/25/2020,60615,5,2020-17-60615,POINT (-87.602725 41.801993)
17,04/19/2020,04/25/2020,60614,10,2020-17-60614,POINT (-87.652064 41.922605)
17,04/19/2020,04/25/2020,60613,9,2020-17-60613,POINT (-87.661343 41.953742)
17,04/19/2020,04/25/2020,60612,5,2020-17-60612,POINT (-87.687011 41.88004)
17,04/19/2020,04/25/2020,60611,2,2020-17-60611,POINT (-87.620291 41.894734)
17,04/19/2020,04/25/2020,60610,9,2020-17-60610,POINT (-87.63581 41.90455)
17,04/19/2020,04/25/2020,60609,10,2020-17-60609,POINT (-87.653382 41.812017)
17,04/19/2020,04/25/2020,60608,10,2020-17-60608,POINT (-87.670366 41.849879)
17,04/19/2020,04/25/2020,60607,2,2020-17-60607,POINT (-87.652727 41.876104)
17,04/19/2020,04/25/2020,60606,10,2020-17-60606,POINT (-87.63676 41.882634)
17,04/19/2020,04/25/2020,60605,2,2020-17-60605,POINT (-87.623449 41.867824)
17,04/19/2020,04/25/2020,60604,1,2020-17-60604,POINT (-87.629029 41.878153)
17,04/19/2020,04/25/2020,60603,1,2020-17-60603,POINT (-87.625473 41.880112)
17,04/19/2020,04/25/2020,60602,1,2020-17-60602,POINT (-87.628309 41.883136)
17,04/19/2020,04/25/2020,60601,10,2020-17-60601,POINT (-87.622844 41.886262)
16,04/12/2020,04/18/2020,60707,1,2020-16-60707,POINT (-87.808283 41.921777)
16,04/12/2020,04/18/2020,60666,1,2020-16-60666,POINT (-87.896371 41.979511)
16,04/12/2020,04/18/2020,60661,10,2020-16-60661,POINT (-87.644283 41.882786)
16,04/12/2020,04/18/2020,60660,10,2020-16-60660,POINT (-87.666362 41.991062)
16,04/12/2020,04/18/2020,60659,10,2020-16-60659,POINT (-87.703266 41.990803)
16,04/12/2020,04/18/2020,60657,5,2020-16-60657,POINT (-87.658216 41.939715)
